Date,Description,Amount
11/80,Costco Gas #1238 Louisville KY Card 6815,-30.07
11/80,Petsmart # 1117 Louisville KY Card 6815,-101.24
12/01,Usps PO 20480900 3131 Louisville KY Card,-9.65
12/01,Kyte Driver Lic Frankfort KY Card 7068,-97.44
12/02,Sp Hiya Health Httpshiyaheal FL Card 6815,-63.60
12/02,Netflix 1 8445052993 CA Card 6815,-16.33
12/04,Pauls Fruit Mark 3704 Louisville KY Card,-123.93
12/04,Hometown Hauling 502-3614446 KY Card 6815,-105.00
12/05,39115 Colorado Rd Avon OH Card 7068,-104.95
12/05,Non-Chase ATM Fee-With,-3.00
12/06,Pilot #0004 Avon OH Card 7068,-0.77
12/05,Fiesta Habanero Avon OH Card 7068,-27.42
12/07,Wendys 552 Lebanon OH Card 7068,-8.29
12/08,Pilot #0004 Avon OH Card 7068,-5.49
12/08,Target T- 3600 Mall Rd Louisville KY Card,-35.25
12/07,Fiesta Habanero Avon OH Card 7068,-23.75
12/08,American Mix Lousiville KY Card 7068,-11.73
12/09,Usps PO 20480900 3131 Louisville KY Card,-9.65
12/09,Tmobile Auto Pay Bellevue WA Card 7068,-16.54
12/10,Bravo-Louisville Louisville KY Card 7068,-76.00
12/11,Kroger #7 4915A Dixie Louisville KY Card,-56.04
12/11,Sp Elite Obsolete Eliteobsolete KS Card 6815,-84.99
12/12,Wm Supere Wal-Mart Sup Louisville KY,-96.02
12/12,Bp#8640039Fives Louisville KY Card 7068,-30.82
12/15,DR Steven Carter Louisville KY Card 7068,-60.00
12/15,Bp#6468524Shop Louisville KY Card 7068,-49.05
12/15,2943 Richland Ave Louisville KY Card 6815,-100.00
12/15,Kroger #3 3039 Brecken Louisville KY Card,-232.62
12/15,Pauls Fruit Mark 3704 Louisville KY Card,-81.74
12/15,Pauls Fru 3704 Taylors Louisville KY Card,-4.99
12/15,Monthly Service Fee,-12.00
12/15,Interest Payment,0.01
03/15,Toyota Oxmoor Toyota Louisville KY Card 1981,-123.51
03/16,Target T- 3600 Mall Rd Louisville KY Card,-12.72
03/16,Kroger #785 4915A Dixi Louisville KY Card,-9.85
03/16,Kroger #7 4915A Dixie Louisville KY Card,-105.59
03/18,Autosave Savings 11243759844,-200.00
03/18,Kroger Fuel #878 4915 Louisville KY Card,-45.16
03/19,Disney Plus Burbank CA Card 1981,-8.23
03/20,Wm Superc Wal-Mart Sup Paris KY Card,-1.98
03/20,Cracker Barrel #415 S 502-633-9945 KY Card,-41.75
03/21,Kroger #7 4915A Dixie Louisville KY Card,-75.88
03/22,Zelle Payment From Joel T Warner Usbgqbh9Wxnft,11.00
03/22,2948 Richland Ave Louisville KY Card 1981,-160.00
03/24,Target T- 3600 Mall Rd Louisville KY Card,-68.88
03/24,Feeders Supply Louisville KY Card 1981,-45.56
03/25,Kroger Fuel #878 4915 Louisville KY Card,-48.08
03/26,Preschool Smiles 187-738-1827 MN Card 1981,-74.19
03/29,Autosave Savings 11247606957,-180.00
03/31,Kroger Fuel #834 3039 Louisville KY Card,-46.10
04/01,Pauls Fru 3704 Taylors Louisville KY Card,-45.71
04/05,Target T- 4174 Westpor Louisville KY Card,-58.30
04/05,Pauls Fru 3704 Taylors Louisville KY Card,-31.01
04/05,Costco Whse #1238 Louisville KY Card 1981,-60.00
04/05,Costco Whse #1238 Louisville KY Card 1981,-3.18
04/05,Costco Whse #1238 Louisville KY Card 1981,-193.39
04/06,Kroger Fuel #878 4915 Louisville KY Card,-46.36
04/06,Premier Surgery Center 502-5899488 KY Card,-184.21
04/07,Wal-Mart #3610 Louisville KY Card 1981,-160.89
04/08,Kroger #7 4915A Dixie Louisville KY Card,-114.06
04/08,Wal-Mart #3610 Louisville KY Card 1981,-81.13
04/11,Autosave Savings 11252206727,-200.00
04/11,Zelle Payment To Teaira 14089711070,-112.50
04/11,Michaels Stores 5003 Louisville KY Card,-71.47
04/12,Petco 2540 Louisville KY Card 1981,-108.50
04/13,Pauls Fru 3704 Taylors Louisville KY Card,-41.96
04/13,Wm Superc Wal-Mart Sup Louisville KY,-13.57
04/14,Off Broadway Shoes 304 Louisville KY Card,31.80
03/18,Autosave Savings 11243759844,200.00
03/29,Autosave Savings 11247606957,180.00
04/11,Autosave Savings 11252206727,200.00
04/15,Interest Payment,0.20
03/11/2024,then will go to,27.24
11/07,_ Zelle Payment To Dragos Boldea 15720229876,30.00
11/14,Payment To Chase Card Ending IN 0793,500.00
11/20,Payment To Chase Card Ending IN 0793,747.75
01/19,Kroger Fuel #834 3039 Louisville KY Card,-31.99
01/19,Kroger #3 3039 Brecken Louisville KY Card,-33.10
01/20,3901 S 7th St Louisville KY Card 7068,-100.00
01/23,Target T- 3600 Mall Rd Louisville KY Card,-152.67
01/23,Bryan G Harness Cosmet Louisville KY Card,-185.00
01/23,Pauls Fruit Mark 3704 Louisville KY Card,-44.18
01/23,Sunshine Pediatrics Louisville KY Card 1981,-35.00
01/23,Kroger #785 Louisville KY Card 1981,-68.69
01/24,Target T- 3600 Mall Rd Louisville KY Card,-138.21
01/25,Fenwick Animal Clinic Louisville KY Card,-63.25
01/25,Costco Whse #1238 Louisville KY Card 1981,-36.09
01/25,Costco Gas #1238 Louisville KY Card 1981,-33.89
01/27,Kroger #346 3039 Breck Louisville KY Card,-36.15
01/80,Costco Gas #1238 Louisville KY Card 1981,-30.67
01/31,Mirage Louisville KY Card 1981,-37.53
02/01,Target T- 3600 Mall Rd Louisville KY Card,-109.30
02/01,Target T- 3600 Mall Rd Louisville KY Card,-50.67
02/01,Toyota Oxmoor Toyota Louisville KY Card 1981,-162.95
02/02,First Watch - 523 - S 502-618-1955 KY Card,-31.75
02/03,Kroger Fuel #878 4915 Louisville KY Card,-39.39
02/03,First Watch - 570 - 502-444-7744 KY Card,-26.88
02/06,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
02/07,Kroger Fuel #878 4915 Louisville KY Card,-35.82
02/07,3901 S 7th St Louisville KY Card 7068,-200.00
02/07,Kroger #7 4915A Dixie Louisville KY Card,-117.91
02/08,Petsmart # 1117 Louisville KY Card 1981,-228.17
02/08,Pauls Fruit Mark 3704 Louisville KY Card,-70.25
02/08,Best Buy #333 Louisvile KY Card 1981,-76.19
02/08,Igms 877-7352559 CO Card 1981,-68.17
02/09,Costco Whse #1238 Louisville KY Card 1981,-373.18
02/10,Target T- 3600 Mall Rd Louisville KY Card,-80.96
02/11,Wal-Mart #2691 New Albany IN Card 1981,-165.93
02/12,Thorntons #0161 #0161 Louisville KY Card,-35.98
02/13,Wal-Mart Super Center Louisville KY Card,-58.48
02/14,Buff City Soap - 4600 Louisville KY Card,-79.36
02/14,Kroger #7 4915A Dixie Louisville KY Card,-54.36
02/15,Interest Payment,0.05
07/31,Remote Online Deposit 1,430.96
07/05,Zelle Payment To Alin Eremia Jom999Yvimkb,39.00
11/20,Payment Thank You-Mobile,-747.75
12/13,Payment Thank You-Mobile,-500.00
11/17,TA #175 FORISTEL FORISTELL MO,4.71
11/17,POPEYES 10605 FORISTELL MO,11.05
11/18,Subway 20364 Strafford MO,11.81
11/18,CONOCO - TA STRATFORD STRAFFORD MO,1.97
11/18,ALLIS FAMILY RESTAURANT SPRINGFIELD MO,16.30
11/19,WAIF RACKLEY LAND INVESTM NASHVILLE IL,1.69
11/19,LITTLE NASHVILLE RESTAURA NASHVILLE IL,26.00
11/21,KROGER 752 LOUISVILLE KY,4.60
11/22,VIETNAM KITCHEN LOUISVILLE KY,44.00
11/22,WALGREENS #4216 LOUISVILLE KY,4.36
12/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
06/17,Sunshine Pediatrics Louisville KY Card 1981,-75.00
06/19,Disneyplus 888-9057888 CA Card 1981,-8.23
06/21,Old Navy US 6226 Louisville KY Card 1981,-58.79
06/21,Apple Store #R264 790 Louisville KY Card,-30.74
06/21,Pauls Fruit Mark 3704 Louisville KY Card,-63.35
06/21,Sind Cellular Louisville KY Card 1981,-58.30
06/24,Petsmart # 1117 Louisville KY Card 7068,-97.44
06/24,Target T- 4640 Taylors Louisville KY Card,-12.47
06/24,Meijer 160 Louisville KY Card 7068,-149.18
06/26,Caresource KY 937-224-3300 OH Card,-780.13
06/26,Kroger #785 4915A Dixi Louisville KY Card,-14.07
06/29,7403 3Rd Street Rd Louisville KY Card 7068,-200.00
07/02,Kroger 502-634-0724 KY Card 1981,-116.61
07/02,Norton Healthcare Myc 502-629-8276 KY Card,-165.00
07/02,Wholefds Lou 101 4944 Louisville KY Card,-193.34
07/03,Wal-Mart Super Center Louisville KY Card,-146.01
07/05,Freeprints 8772488906 CA Card 1981,-25.43
07/05,Feeders Supply Louisville KY Card 7068,-72.07
07/05,Kroger #7 4915A Dixie Louisville KY Card,-24.35
07/05,Walgreens Store 3980 D Louisville KY Card,-4.99
07/04,Thorntons #0011 Jeffersonvill IN Card 7068,-6.56
07/05,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
07/06,Sp Buff City Soap CO Httpsbuffcity TX Card,-53.52
07/08,Imos Pizza-Lemay 314-761-5321 MO Card,-79.59
07/08,St Louis Aquarium Saint Louis MO Card 1981,-25.00
07/09,Target T- 2341 N Highw Florissant MO Card,-117.58
07/11,Pauls Fruit Mark 3704 Louisville KY Card,-60.74
07/15,Target T- 4640 Taylors Louisville KY Card,-81.63
07/18,Costco Whse #1238 Louisville KY Card 7068,-186.18
